平日班次,花蓮轉運站,勤天商旅,市立圖書館,麗星飯店,花蓮又一村文創園區,花蓮文創園區,日出大道1,日出大道2,東大門夜市,中華路,將軍府商圈,勤天商旅,花蓮轉運站,,
1,17:45,17:46,17:49,17:51,17:59,18:01,18:03,18:04,18:06,18:09,18:13,18:19,18:20,,
2,18:00,18:01,18:04,18:06,18:14,18:16,18:18,18:19,18:21,18:24,18:28,18:34,18:35,,
3,18:20,18:21,18:24,18:26,18:34,18:36,18:38,18:39,18:41,18:44,18:48,18:54,18:55,,
4,18:30,18:31,18:34,18:36,18:44,18:46,18:48,18:49,18:51,18:54,18:58,19:04,19:05,,
5,18:50,18:51,18:54,18:56,19:04,19:06,19:08,19:09,19:11,19:14,19:18,19:24,19:25,,
6,19:15,19:16,19:19,19:21,19:29,19:31,19:33,19:34,19:36,19:39,19:43,19:49,19:50,,
7,19:30,19:31,19:34,19:36,19:44,19:46,19:48,19:49,19:51,19:54,19:58,20:04,20:05,,
8,20:00,20:01,20:04,20:06,20:14,20:16,20:18,20:19,20:21,20:24,20:28,20:34,20:35,,
9,20:30,20:31,20:34,20:36,20:44,20:46,20:48,20:49,20:51,20:54,20:58,21:04,21:05,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
